decision,term,id,full_term,type,scope,definition,plain,source,source_url,org_ref,note,revised_definition,revised_plain
,All Schools Network,all-schools-network,All Schools Network,local-programme,bof,A network bringing primary and secondary schools together.,A network that brings primary and secondary schools together.,RCVDA — Building our Futures programme.,,,,,
,Anglo American,anglo-american,Anglo American,organisation,bof,A global mining business.,A global mining business.,Anglo American,https://www.angloamerican.com,Companies House GB-COH-03564138,"Companies House: Anglo American plc, 03564138 (the global parent company).",,
,Annual Survey of Hours and Earnings,ashe,Annual Survey of Hours and Earnings,substantive,bof,The Office for National Statistics' official survey of earnings.,The official survey of what people earn.,Office for National Statistics — ASHE,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/methodologies/annualsurveyofhoursandearningsashemethodologyandguidance,,,,
,Building our Futures,building-our-futures,Building our Futures,local-programme,bof,An award-winning primary careers and enrichment programme run in Redcar & Cleveland since 2021 by RCVDA.,"An award-winning primary careers and enrichment programme, run in Redcar & Cleveland since 2021.",RCVDA — Building our Futures,https://www.buildingourfutures.org.uk,,,,
,Business Network,business-network,Business Network,local-programme,bof,A termly network of local employers who help shape and run the programme.,A network of local employers who help shape and run the programme. It meets each term.,RCVDA — Building our Futures programme.,,,,,
,Career Champion,career-champion,Career Champion,local-programme,bof,A mentoring role in which a career champion supports a school.,A mentor scheme: a career champion supports a school.,RCVDA — Building our Futures programme.,,,,,
,Career Journeys and Aspirations,career-journeys-and-aspirations,Career Journeys and Aspirations,local-programme,bof,Pupil Journey step 1: exploring what a career is and what jobs exist in the local area.,"What a career is, and what jobs there are in the local area.",RCVDA — Building our Futures programme.,,,,,
,Careers lead,careers-lead,Careers lead,substantive,bof,The teacher responsible for careers learning at a school.,The teacher in charge of careers learning at a school.,Education sector usage.,,,,,
,Careers-related learning,crl,Careers-related learning,substantive,bof,Careers-related learning — the careers learning taught in schools.,The careers lessons taught in school.,RCVDA — Building our Futures programme.,,,,,
,Case study,case-study,Case study,method,bof,A short termly write-up of impact telling one pupil's or one school's story.,"A short write-up of impact, one each term. It tells one pupil's or one school's story.",RCVDA — Building our Futures programme.,,,,,
,CDI KS2 framework,cdi-ks2-framework,CDI KS2 framework,method,bof,A careers framework for Key Stage 2 (ages 7 to 11) produced by the Career Development Institute.,"A careers framework for Key Stage 2 (ages 7 to 11), made by the Career Development Institute.",Career Development Institute,https://www.thecdi.net/resources/cdi-framework,,,,
,Dogger Bank Wind Farm,dogger-bank-wind-farm,Dogger Bank Wind Farm,organisation,bof,An offshore wind farm off the North East coast of England.,"A large wind farm out at sea, off the North East coast.",Dogger Bank Wind Farm,https://doggerbank.com/,,"Dogger Bank Wind Farm is a legal partnership / joint venture, not a single registered company, so it has no one org reference.",,
,Early Years Foundation Stage,eyfs,Early Years Foundation Stage,statutory,bof,The statutory stage of learning and development for children from birth to age 5.,The stage for the youngest children.,DfE — Statutory framework for the early years foundation stage,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2,,,,
,Employer encounters,employer-encounters,Employer encounters / employer engagement,substantive,bof,The sector's terms for pupils meeting the world of work.,The words the sector uses for pupils meeting the world of work.,Education / careers sector usage.,,,,,
,Employer Interviews,employer-interviews,Employer Interviews,local-programme,bof,"Pupil Journey step 6: real interviews with business partners, followed by feedback.","Real interviews with business partners, then feedback.",RCVDA — Building our Futures programme.,,,,,
,Enrichment offer,enrichment-offer,Enrichment offer,local-programme,bof,"Extra activities beyond the six Pupil Journey steps, such as Parliament Week and science and technology events.",Extra activities beyond the six steps. They include Parliament Week and science and technology events.,RCVDA — Building our Futures programme.,,,,,
,Equinor,equinor,Equinor,organisation,bof,A Norwegian energy company; one of the three owners of Dogger Bank Wind Farm and its operator.,"One of the three owners of Dogger Bank Wind Farm, and the one that runs it.",Equinor,https://www.equinor.com/,,"Norwegian company — not registered in England & Wales, so no Companies House / FTC reference.",,
,Essential Skills (step),essential-skills-step,Essential Skills,local-programme,bof,Pupil Journey step 2: teaching the eight essential skills from the Skills Builder Universal Framework.,The eight essential skills from the Skills Builder Universal Framework.,RCVDA — Building our Futures programme.,,,,,
,Gatsby Benchmarks,gatsby-benchmarks,Gatsby Benchmarks,substantive,bof,The national standard of eight benchmarks for good careers guidance.,The national standard for good careers guidance.,The Gatsby Foundation,https://www.gatsbybenchmarks.org.uk/,,,,
,Income Deprivation Affecting Children Index,idaci,Income Deprivation Affecting Children Index,substantive,bof,A national measure of the proportion of children in an area living in income-deprived households.,A measure of child poverty in an area.,MHCLG — English indices of deprivation 2019,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,,,,
,Interview Skills & Communication,interview-skills-and-communication,Interview Skills and Communication,local-programme,bof,Pupil Journey step 5: body language and speaking well at work.,Body language and how to speak well at work.,RCVDA — Building our Futures programme.,,,,,
,Investors in Careers Primary,investors-in-careers-primary,Investors in Careers Primary,method,bof,An award scheme recognising good primary careers work; three schools are working towards it.,An award for good primary careers work. Three schools are working towards it now.,Investors in Careers,https://www.investorsincareers.org.uk/,,,,
,Key Stage 2,ks2,Key Stage 2,statutory,bof,The stage of the national curriculum for pupils in school years 3 to 6 (roughly ages 7 to 11).,"The primary years, roughly ages 7 to 11.",National curriculum in England,https://www.gov.uk/government/collections/national-curriculum,,,,
,Living in the Wider World,living-in-the-wider-world,Living in the Wider World,substantive,bof,"One of the three core themes of the PSHE Association's programme of study, covering careers and the world of work.",One of the three main parts of the PSHE Association's plan of study.,PSHE Association,https://pshe-association.org.uk/,,,,
,Mantle of the Expert,mantle-of-the-expert,Mantle of the Expert,method,bof,"A teaching approach using role-play and inquiry, in which pupils take on the role of experts.",A way of teaching through role-play and inquiry.,Mantle of the Expert,https://www.mantleoftheexpert.com/,,,,
,Meet the Employers,meet-the-employers,Meet the Employers,local-programme,bof,Pupil Journey step 3: a first meeting with a local business or project.,A first meeting with a local business or project.,RCVDA — Building our Futures programme.,,,,,
,Operator Fund,operator-fund,Operator Fund,local-programme,bof,"A separate Dogger Bank Wind Farm grant scheme giving up to £1,000 to community groups.","A separate Dogger Bank Wind Farm grant scheme. It gives up to £1,000 to community groups.",RCVDA — Building our Futures programme.,,,,,
,Percy & Mann (2014),percy-and-mann-2014,Percy and Mann (2014),substantive,bof,"Research (Percy and Mann, 2014) on the relationship between skills and future pay.",Research on how skills affect future pay.,"Percy, C. and Mann, A. (2014).",,,,,
,Pre/post survey,pre-post-survey,Pre/post survey,method,bof,A termly survey run before and after the work to measure changes in how pupils explore careers.,"A survey run each term, before and after the work. It measures changes in how pupils explore careers.",RCVDA — Building our Futures programme.,,,,,
,Primary Schools Network,primary-schools-network,Primary Schools Network,local-programme,bof,"The programme's main delivery network, meeting each term.",The main delivery network. It meets each term.,RCVDA — Building our Futures programme.,,,,,
,Secondary Schools Network,secondary-schools-network,Secondary Schools Network,local-programme,bof,A network supporting the move up to secondary school.,A network that supports the move up to secondary school.,RCVDA — Building our Futures programme.,,,,,
,Skills Builder Universal Framework,skills-builder-universal-framework,Skills Builder Universal Framework,method,bof,A skills framework built around eight essential skills for work and life.,A skills framework built around eight essential skills.,Skills Builder Partnership,https://www.skillsbuilder.org/,,,,
,Special Educational Needs and Disabilities,send,Special Educational Needs and Disabilities,statutory,bof,The framework of support for children and young people with special educational needs or disabilities.,Extra support for pupils with special educational needs or disabilities.,"Children and Families Act 2014, Part 3",https://www.legislation.gov.uk/ukpga/2014/6/part/3,,,,
,SSE Renewables,sse-renewables,SSE Renewables,organisation,bof,A renewable-energy company that owns 40% of Dogger Bank Wind Farm.,A renewable-energy company. It owns 40% of Dogger Bank Wind Farm.,SSE Renewables,https://www.sserenewables.com,Companies House GB-COH-SC117119,"Companies House: SSE plc, SC117119 (the parent group; SSE Renewables is its renewables arm).",,
,STEM Education and Careers Programmes,stem-education-and-careers-programmes,STEM Education and Careers Programmes,local-programme,bof,The part of Dogger Bank Wind Farm's community giving that funds Building our Futures.,The part of Dogger Bank Wind Farm's community giving that pays for Building our Futures.,RCVDA — Building our Futures programme.,,,,,
,Team Work Challenge,team-work-challenge,Team Work Challenge,local-programme,bof,Pupil Journey step 4: a problem-solving or design challenge set by an employer.,"A problem to solve or a design challenge, set by an employer.",RCVDA — Building our Futures programme.,,,,,
,The eight essential skills,the-eight-essential-skills,The eight essential skills,substantive,bof,The eight skills for work and life set out in the Skills Builder Universal Framework.,"The eight skills for work and life, set out in the Skills Builder Universal Framework.",Skills Builder Partnership,https://www.skillsbuilder.org/,,,,
,The Pupil Journey,the-pupil-journey,The Pupil Journey,local-programme,bof,"The six-step framework at the heart of Building our Futures, delivered in primary schools for children aged 7 to 11.",The six steps at the heart of the programme. It runs in primary schools for children aged 7 to 11.,RCVDA — Building our Futures programme.,,,,,
,Transition programme,transition-programme,Transition programme,local-programme,bof,Work that supports pupils moving from primary to secondary school.,Work that helps pupils move from primary to secondary school.,RCVDA — Building our Futures programme.,,,,,
