term,id,type,resolver_verdict,resolver_orgid,resolver_match,ftc_url,current_org_ref,decision,override_orgid,note
Alzheimer's Association,alzheimers-association-usa,organisation,review_low,GB-CHC-296645,Alzheimer's Society (GB-CHC-296645),https://findthatcharity.uk/orgid/GB-CHC-296645,,blank,,OPEN — needs a decision.
Audit Commission,audit-commission,organisation,auto,GB-GOR-PC343,Audit Commission (GB-GOR-PC343) [INACTIVE],https://findthatcharity.uk/orgid/GB-GOR-PC343,,apply,,OPEN — needs a decision.
BAPEN,bapen,organisation,auto,GB-CHC-1186719,British Association for Parenteral and Enteral Nutrition (GB-CHC-1186719),https://findthatcharity.uk/orgid/GB-CHC-1186719,,apply,,OPEN — needs a decision.
BMA,bma,organisation,review_high,GB-CHC-1123387,Indo-British Medical Association Limited (GB-CHC-1123387) [INACTIVE],https://findthatcharity.uk/orgid/GB-CHC-1123387,,apply,GB-COH-00008848,OPEN — needs a decision.
CURV,curv,organisation,review_low,GB-CHC-1117375,Harm Reduction International (GB-CHC-1117375),https://findthatcharity.uk/orgid/GB-CHC-1117375,,blank,,OPEN — needs a decision.
Centre for Thriving Places,centre-for-thriving-places,organisation,auto,GB-CHC-1143037,Centre for Thriving Places (GB-CHC-1143037),https://findthatcharity.uk/orgid/GB-CHC-1143037,,apply,,OPEN — needs a decision.
Citizens Advice,citizens-advice,organisation,auto,GB-CHC-279057,The National Association of Citizens Advice Bureaux (GB-CHC-279057),https://findthatcharity.uk/orgid/GB-CHC-279057,,apply,,OPEN — needs a decision.
"Citizens Advice Darlington, Redcar and Cleveland",citizens-advice-drc,organisation,auto,GB-CHC-1112414,"Citizens Advice Darlington, Redcar and Cleveland (GB-CHC-1112414)",https://findthatcharity.uk/orgid/GB-CHC-1112414,,apply,,OPEN — needs a decision.
College of Policing,college-of-policing,organisation,auto,GB-GOVUK-college-of-policing,College of Policing (GB-GOVUK-college-of-policing),https://findthatcharity.uk/orgid/GB-GOVUK-college-of-policing,,apply,,OPEN — needs a decision.
Court of Protection,court-of-protection,organisation,auto,GB-GOVUK-court-of-protection,Court of Protection (GB-GOVUK-court-of-protection),https://findthatcharity.uk/orgid/GB-GOVUK-court-of-protection,,skip,,OPEN — needs a decision.
"Department for Environment, Food & Rural Affairs",defra,organisation,auto,GB-GOR-D7,"Department for Environment, Food & Rural Affairs (GB-GOR-D7)",https://findthatcharity.uk/orgid/GB-GOR-D7,,apply,,OPEN — needs a decision.
DfT,dft,organisation,auto,GB-GOR-D9,Department for Transport (GB-GOR-D9),https://findthatcharity.uk/orgid/GB-GOR-D9,,apply,,OPEN — needs a decision.
Environment Agency,environment-agency,organisation,auto,GB-GOR-EA199,Environment Agency (GB-GOR-EA199),https://findthatcharity.uk/orgid/GB-GOR-EA199,,apply,,OPEN — needs a decision.
Institute of Public Care,institute-of-public-care,organisation,review_low,GB-CHC-800065,Institute for Public Policy Research (GB-CHC-800065),https://findthatcharity.uk/orgid/GB-CHC-800065,,blank,,OPEN — needs a decision.
LGA,lga,organisation,review_high,GB-CHC-1123234,The Leadership Centre for Local Government (GB-CHC-1123234),https://findthatcharity.uk/orgid/GB-CHC-1123234,,blank,,OPEN — needs a decision.
MaPS,money-and-pensions-service,organisation,review_low,GB-CHC-1045340,Money Advice and Community Support Service (GB-CHC-1045340),https://findthatcharity.uk/orgid/GB-CHC-1045340,,apply,GB-GOR-OT1266,"OPEN — needs a decision. MaPS = original statutory name ""Single Financial Guidance Body"" (renamed 2019)."
Middlesbrough Citizens Advice,middlesbrough-citizens-advice,organisation,review_high,GB-CHC-1096071,Middlesbrough Citizens Advice Bureau (GB-CHC-1096071),https://findthatcharity.uk/orgid/GB-CHC-1096071,,apply,,OPEN — needs a decision.
NE Regional Road Safety Resource / TADU,ne-road-safety-tadu,organisation,review_low,GB-CHC-1002819,Basics London (North East Metropolitan Accident Unit) (GB-CHC-1002819),https://findthatcharity.uk/orgid/GB-CHC-1002819,,blank,,OPEN — needs a decision.
NECS,necs,organisation,review_low,GB-CHC-306077,The North of England Zoological Society (GB-CHC-306077),https://findthatcharity.uk/orgid/GB-CHC-306077,,apply,GB-NHS-0AR,OPEN — needs a decision.
National Illegal Money Lending Team,imlt,organisation,no_match,,,,,blank,,OPEN — needs a decision.
Natural England,natural-england,organisation,auto,GB-GOR-PB202,Natural England (GB-GOR-PB202),https://findthatcharity.uk/orgid/GB-GOR-PB202,,apply,,OPEN — needs a decision.
North East England Chamber of Commerce,north-east-england-chamber-of-commerce,organisation,review_low,GB-CHC-1000858,North East England Guide Association (GB-CHC-1000858),https://findthatcharity.uk/orgid/GB-CHC-1000858,,apply,GB-COH-02938084,OPEN — needs a decision.
ONS,ons,organisation,auto,GB-GOR-D303,Office for National Statistics (GB-GOR-D303),https://findthatcharity.uk/orgid/GB-GOR-D303,,apply,,OPEN — needs a decision.
ORR,orr,organisation,auto,GB-GOR-D1117,Office of Rail and Road (GB-GOR-D1117),https://findthatcharity.uk/orgid/GB-GOR-D1117,,apply,,OPEN — needs a decision.
Ordnance Survey,ordnance-survey,organisation,auto,GB-GOR-D38,Ordnance Survey (GB-GOR-D38),https://findthatcharity.uk/orgid/GB-GOR-D38,,apply,,OPEN — needs a decision.
PE Scholar,pe-scholar,organisation,no_match,,,,,blank,,OPEN — needs a decision.
